name	smiles	heavy	prob_binary	pred_value	score
rxn:2:96711:71004	CC(C)C1CC(Nc2cccc3cnncc23)CCS1	20	0.5299708843231201	-0.29864001274108887	0.041430544853210446
rxn:2:93644:99881	C[C@H]1CC(Nc2cn[nH]n2)c2ccccc21	16			0.03590353578329086
rxn:2:114385:96265	CSC1CC(NCc2cc3cnccc3s2)C1	17			0.027097316349253935
rxn:2:111693:122245	CC(NC(c1cccs1)C1CC1)c1csnn1	17			0.023118294337216544
rxn:2:96604:109315	COCCC(C)(NC(C)c1cnco1)C1CC1	17	0.1974656730890274	-0.18863558769226074	0.02271183886948754
rxn:2:134404:94855	Cc1ccc(-n2nccn2)c(NC2CC3CC3C2)c1	19			0.01776700270803351
rxn:2:73001:137546	FC(F)(CNC1CCc2cnoc2C1)c1ccoc1	19			0.017533035654770702
rxn:2:109184:118376	c1cc(NC2CCc3ccsc3C2)c(OC2CC2)cn1	20	0.2623327672481537	-0.0030422210693359375	0.01326874941587448
rxn:2:109734:131337	CC(N[C@H]1C[C@@](C)(F)C1)c1cccc2c1CCO2	18			0.008273338278134664
rxn:2:78738:138205	Cc1nc2scnn2c1CNC1CCCC(C2CC2)C1	20	0.48608750104904175	0.3833801746368408	0.005135366320610046
rxn:2:128196:71586	CC1CC(CNC2CC(c3ccsc3)C2)C(C)O1	18			0.0050445472200711565
rxn:2:116225:110686	CC(C)c1ncsc1NC1CCC2(CCO2)CC1	18			0.004656881093978882
rxn:2:135764:131279	CC[C@@H]1C[C@@H]1NC(C)c1cnc(-c2cc[nH]c2)s1	18			0.003213100963168674
rxn:2:103110:83857	CCCc1ccc(NC(C)CC2(C)CC2)cn1	17	0.3492838740348816	0.3093440532684326	0.002349401221555822
rxn:2:102859:84526	CCC1COC(CNC(CC)c2nnc[nH]2)C1	17	0.29941320419311523	0.26795291900634766	0.0018506050109863281
rxn:2:134596:121253	Cc1cc2nc(NC3CSC(C)C3)sc2cc1C	18			-0.0008082787195841471
rxn:2:73189:110686	CCCc1nonc1NC1CCC2(CCO2)CC1	18			-0.0018638595938682556
rxn:2:104401:73350	CS(=O)(=O)C1CCCC(N[C@@H]2C[C@H]2c2cccnc2)C1	20			-0.002581910043954849
rxn:2:115336:76620	COCn1cccc(NC2CCSc3sccc32)c1=O	20	0.18465232849121094	0.2399888038635254	-0.0027668237686157226
rxn:2:68915:134994	Cc1cn2nc(NC3CCC34COC4)ccc2n1	18			-0.005449743734465705
rxn:2:97980:100665	COc1ccc2c(c1)CCC(F)C2Nc1ccsn1	19			-0.005788778003893401
rxn:2:74168:115675	c1nc(C2CC2NC2CCCC23CCCS3)c[nH]1	18			-0.0064504726065529715
rxn:2:115489:141558	CC(Nn1ccccc1=O)c1cc(C2CC2)ccn1	19			-0.008462730206941304
rxn:2:102933:78335	CCCc1cc(NC2CCc3ncoc32)c(C)cn1	19			-0.00971548180831106
rxn:2:102561:138712	CCC(C)c1cc(NC2CC(S(C)(=O)=O)C2)n[nH]1	18			-0.009897477096981473
rxn:2:88758:139913	COCC1(NC2CCCCc3ccoc32)CSC1	18	0.22735126316547394	0.4305245876312256	-0.01128740691476398
rxn:2:70825:76308	C[C@@H](NC1C[C@H]2CC[C@@H]1C2)c1ccc2c(c1)OCO2	19	0.26970767974853516	0.509857177734375	-0.012639447262412623
rxn:2:121371:92737	c1nc(-c2nnc(NC3CCCC4CCC43)s2)c[nH]1	19	0.2640334665775299	0.5394833087921143	-0.01449736011655707
rxn:2:73551:80327	COc1ccc(C)c2sc(NC3CCOCC3C)nc12	20	0.4730876386165619	0.8083395957946777	-0.01676259785890579
rxn:2:125857:138445	COc1nnc(C)cc1NC1CCOC12COC2	18	0.1893925666809082	0.49278736114501953	-0.016855266359117296
rxn:2:78711:66557	CO[C@H]1CCCCC1Nc1cc(C)c2c(c1)ncn2C	20	0.252797394990921	0.6646327972412109	-0.020591770112514497
